asesor_codigo,numero,cliente_razon_social,trabajo,cantidad,COTIZACION::total,fecha_ingreso,fecha_entrega,linea_negocio,estado_orden,factura_cantidad_nuevo,factura_subtotal_nuevo
BV,24189,NATURES SUNSHINE PRODUCTS DEL ECUADOR S.A.,REIMPRESIÓN CATÁLOGO de producto,3000,2886,05/01/2026,07/01/2026,PUBLICOMERCIAL,FACTURADO,3000,2886
ASS,24190,OTECEL S.A.,VOLANTES MOVISTAR ENERO,126000,2267.998536,05/01/2026,07/01/2026,PUBLICOMERCIAL,DESPACHOS - ENTREGA TOTAL,,
MC,24191,YUNNY RIVERA CUSME,LIBRO INFORMATIC EVOLUTION 1,1500,3149.9985,06/01/2026,15/01/2026,EDITORIAL,FACTURADO,1500,3149.9985
MC,24194,YUNNY RIVERA CUSME,LIBRO INFORMATIC EVOLUTION 2,1500,3075,08/01/2026,15/01/2026,EDITORIAL,FACTURADO,1500,3075
MC,24195,YUNNY RIVERA CUSME,LIBRO INFORMATIC EVOLUTION 3,1500,3075,08/01/2026,15/01/2026,EDITORIAL,FACTURADO,1500,3075
BV,24197,BUSSINES MARKETING PUBLICIDAD CIA LTDA,CUADERNOS / AGENDAS,200,1050.007,13/01/2026,22/01/2026,PUBLICOMERCIAL,FACTURADO,200,1050.007
BV,24198,RIJABAL S.A.,LIBRO Ciencias Experimentales 1,1300,2517.9973,15/01/2026,23/01/2026,EDITORIAL,FACTURADO,1300,2517.9973
BV,24199,RIJABAL S.A.,LIBRO Ciencias Experimentales 2,1300,2307.9966,15/01/2026,23/01/2026,EDITORIAL,FACTURADO,1300,2307.9966
BV,24200,RIJABAL S.A.,LIBRO Ciencias Experimentales 3,1300,2569.996,15/01/2026,23/01/2026,EDITORIAL,FACTURADO,1300,2569.996
BV,24201,OMNILIFE DEL ECUADOR S.A.,GUÍA DE PRODUCTOS ene 2026,3000,2940,16/01/2026,27/01/2026,PUBLICOMERCIAL,FACTURADO,3000,2940
CTAG,24202,AMC ECUADOR CIA.LTDA.,reimpresión PLIEGOS NINA FLOWERS 60X90,49800,896.4,16/01/2026,23/01/2026,PUBLICOMERCIAL,FACTURADO,49800,896.4
ASS,24203,INTRIAGO FRAY OSCAR PASTOR,libro cívica generación c 2,1000,2000,16/01/2026,30/01/2026,EDITORIAL,FACTURADO,1000,2000
BV,24204,OMNILIFE DEL ECUADOR S.A.,LIBRETAS,95,266,19/01/2026,21/01/2026,PUBLICOMERCIAL,FACTURADO,95,266
BV,24205,Juan José Maldonado Utreras,DIPLOMAS,32,32.003744,19/01/2026,19/01/2026,PUBLICOMERCIAL,FACTURADO,32,32.003744
BV,24206,NATURES SUNSHINE PRODUCTS DEL ECUADOR S.A.,CUADERNOS,200,589.7842,20/01/2026,28/01/2026,PUBLICOMERCIAL,FACTURADO,200,589.7842
ASS,24207,INTRIAGO FRAY OSCAR PASTOR,LIBRO CÍVICA GENERACIÓN C 3,1000,2000,22/01/2026,30/01/2026,EDITORIAL,FACTURADO,1000,2000
ASS,24208,INTRIAGO FRAY OSCAR PASTOR,LIBRO CÍVICA GENERACIÓN C 4,1000,2000,22/01/2026,30/01/2026,EDITORIAL,FACTURADO,1000,2000
ASS,24209,INTRIAGO FRAY OSCAR PASTOR,LIBRO CÍVICA GENERACIÓN C 5,1000,2000,22/01/2026,30/01/2026,EDITORIAL,FACTURADO,1000,2000
ASS,24210,INTRIAGO FRAY OSCAR PASTOR,LIBRO CÍVICA GENERACIÓN C 6,1000,2000,22/01/2026,30/01/2026,EDITORIAL,FACTURADO,1000,2000
ASS,24211,INTRIAGO FRAY OSCAR PASTOR,LIBRO CÍVICA GENERACIÓN C 7,1000,2000,22/01/2026,30/01/2026,EDITORIAL,FACTURADO,1000,2000
ASS,24212,INTRIAGO FRAY OSCAR PASTOR,LIBRO CÍVICA GENERACIÓN C 8,1000,2000,22/01/2026,30/01/2026,EDITORIAL,FACTURADO,1000,2000
ASS,24213,INTRIAGO FRAY OSCAR PASTOR,LIBRO CÍVICA GENERACIÓN C 9,1000,2000,22/01/2026,30/01/2026,EDITORIAL,FACTURADO,1000,2000
ASS,24214,INTRIAGO FRAY OSCAR PASTOR,LIBRO CÍVICA GENERACIÓN C 10,1000,2000,22/01/2026,30/01/2026,EDITORIAL,FACTURADO,1000,2000
ASS,24215,INTRIAGO FRAY OSCAR PASTOR,LIBRO CÍVICA GENERACIÓN C 1 BACHILLERATO,1000,2000,22/01/2026,30/01/2026,EDITORIAL,FACTURADO,1000,2000
ASS,24216,INTRIAGO FRAY OSCAR PASTOR,libro cívica generación c 2 BACHILLERATO,1000,2000,22/01/2026,30/01/2026,EDITORIAL,FACTURADO,1000,2000
ASS,24217,INTRIAGO FRAY OSCAR PASTOR,libro cívica generación c 3 BACHILLERATO,1000,2000,22/01/2026,30/01/2026,EDITORIAL,FACTURADO,1000,2000
CTAG,24218,SYNLAB S.A.S,Sticker 3 diseños,400,80.0052,22/01/2026,23/01/2026,PUBLICOMERCIAL,FACTURADO,400,80.0052
CTAG,24219,ALISERVIS S.A.,REIMPRESION VOLANTES PROMO FEBRERO 2026 $10.49 PIZZA FAMILIA 1 INGREDIENTE - 5 MOTIVOS,492675,5223.34035,26/01/2026,02/02/2026,PUBLICOMERCIAL,FACTURADO,492675,5223.34035
CTAG,24220,VERONICA PROAÑO,CUADERNOS A5,10,125,26/01/2026,27/01/2026,PUBLICOMERCIAL,FACTURADO,10,125
CTAG,24221,MANOSALVAS MARTINEZ JANETH,tríptico IT AHORA EDICIÓN 114-115,850,450.415,27/01/2026,03/02/2026,PUBLICOMERCIAL,FACTURADO,850,450.415
CTAG,24222,ALISERVIS S.A.,VOLANTES NUEVO LOCAL POMASQUI 50% OFF,5000,52.5,27/01/2026,30/01/2026,PUBLICOMERCIAL,FACTURADO,5000,52.5
MC,24223,TIPAN UMATAMBO SEGUNDO MARCO,LIBRO PREPARATORIA MIS HUELLITAS 1 EGB,2000,19500,28/01/2026,06/02/2026,EDITORIAL,FACTURADO,2000,19500
MC,24224,YUNNY RIVERA CUSME,REIMPRESIÓN LIBRO CALIGRAFITOS PLUS 2 EGB,3000,4650,28/01/2026,03/02/2026,EDITORIAL,FACTURADO,3000,4650
CTAG,24225,ALISERVIS S.A.,VOLANTES PROMO 10.49 INC.IVA,15000,157.5,28/01/2026,02/02/2026,PUBLICOMERCIAL,FACTURADO,15000,157.5
ASS,24226,BFS ECUADOR,EMPAQUE COUPLE - SANDUCHADO 7 motivos,1300,1755,29/01/2026,06/02/2026,EMPAQUE,FACTURADO,1300,1755
ASS,23408,EMPRESA OPERADORA METRO DE MEDELLIN TRANSDEV EOMMT S.A.S.,cuaderno,21,462,15/01/2025 0:00,20/01/2025 0:00,PUBLICOMERCIAL,FACTURADO,21,462
ASS,23412,OTECEL S.A.,REIMPRESIÓN  LIBRETA TUENTI - AFI25.1,1000,972,15/01/2025 0:00,22/01/2025 0:00,PUBLICOMERCIAL,FACTURADO,1000,972
ASS,23434,OTECEL S.A.,VOLANTE tuenti - VOL151.1,108000,2172.15,24/01/2025 0:00,30/01/2025 0:00,PUBLICOMERCIAL,FACTURADO,108000,2172.15
ASS,23472,AGLOMERADOS COTOPAXI S.A,DAMERO pequeño con nidos 2025 - opción 1,7800,44440,01/03/2025 0:00,19/02/2025 0:00,EMPAQUE,FACTURADO,7800,44440
ASS,23476,AGLOMERADOS COTOPAXI S.A,DAMERO grande 2025 - ECUADOR Y PERU,2700,25650,01/03/2025 0:00,24/03/2025 0:00,EMPAQUE,FACTURADO,2700,25650
